Name,Location,Username,Date Inserted,Review,Rating,Food,Service,Price,Food Key,Service Key,Price key
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",bcheong,"December 7, 2020","Comfort food for such trying times. The chicken, rice and sauces are very good of course. They have other nice dishes as well - tofu, sweet sour pork, seafood in yam bowl etc.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",patrickperbkk,"April 6, 2020","Been recommended by my Singapore customer as one of the best Chicken Rice in Singapore. It's tasty, love local street food atmosphere.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",900johnn,"January 18, 2020","Obviously this outlet has been in this place for a very long time, & this operation accordingly works like a finely tuned machine..rapido table delivery by old hands that’ve been in service for yonks makes not for a relaxed dinner..but it’s how serious Cantonese Chicken Rice lovers like  ",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",2312shan,"October 8, 2019",My 2nd visit to this outlet because the parking is inconvenient.  Food is above average however there are better Chicken rice elsewhere.,4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Bdcz,"October 3, 2019","This restaurant is overrated in all areas - quality, pricing, portion size, etc. This used to serve really good chicken rice. Not anymore!! Now it seems more focused on making a buck than on the quality of their food. The skin of steamed chicken tasted awful ... like it was from an old batch ie probably cooked too early in the morning - we were there at 1pm. The rice portion size was small and pathetic and lacked the fragrance and taste of the traditional/original Boon Tong Kee famous chicken rice. They charged you $5 for a small single portion of chicken. And then charged you separately an additional $1 for a loosely packed triangle of rice. Plain water $1...what a joke. Daylight robbery. I can see that they are now more focused on the China tourists as there were lot of such tourists arriving on SUVs. It is no longer our local Boon Tong Kee chicken rice which used to be frequented by locals and taxi drivers, when it was run by the old owners. Pity the philosophy and skills were not passed onto to the younger generation.",2,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Chris D,"October 3, 2019",I used to live very close to the restaurant and visited often for the famous chicken rice. It is sad to see how far the standard has droppe,1,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",SimonChapman,"September 29, 2019",A quick lunch stop for some of the best chicken and rice in Singapore. Steamed chicken was good and Roasted chicken was even tastier.,5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",DYSiong,"July 28, 2019","So so at this branch. We were attracted to the Boon Tong Kee chicken rice after having our mother day dinner at their Ang Mo Kio branch. Somehow when we try it out at this branch, it was not so tasty. The ambience is pretty ""haunting""....waitresses NOT friendly at al ",3,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",chioky1950,"May 30, 2019","Have not eaten Boon Tong Kee's chicken rice for quite sometime, so decided to try  ",3,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",bcheong,"January 2, 2019","Always reliable for good chicken rice - chicken, rice and chilli. Other good dishes as well, especially for large group. This branch is small, so if there’s 10 of you, balestier main branch is better",4,,,,,,
