storeName,storeLoc,reviewerUsername,ratingDate,reviewText,rating
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",BackbenchersInt,4-Dec-20,"Due to Covid situation, very well organized and peaceful lunch ever had in IKEA.
Kudos to staff to make it happen. Food quality is average as usual. Lamb Shank, has a very distinctive strong smell.",3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Amoschow,5-Mar-20,"When we come to Ikea we always come by the cafe for some meatball, chicken wings and once in awhile their cider. They also have flavoured soda which is interesting too.",3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",YYLoong,24-Feb-20,"Went IKEA on a whim one Sunday morning as we need to get some stuff for our house. So impressed at the breakfast, value for money and yummy. The breakfast set only cost $5 and the pancakes are so fluffy with FREEFLOW maple syrup! Hashbrown is hot and crispy. The salmon crossaint has huge chunks of salmon only cost $2+. With the IKEA family card we got 2 free hot drinks. Our cafe styled breakfast cost less than $10! They also had vegetarian fried bee Hoon which I will try next time. Will be back. ",4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",conybearbear,20-Feb-20,"I use to be a regular customer for ikea and of course the cafe too since I move to the nearby neighbourhood. 

The cafe food are terrible now days and its getting  bad to worst. 

Kinda disappointed and feel sad about it",1.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",AhKwang,22-Jan-20,My wife needed to pick up some stuff from IKEA and we visited the Tampines Store which open for business at 10am. Along the way was hunting for a place to eat breakfast without success. We finally arrived at 9.35am and lo and behold the cafeteria was already open and serving breakfast. Choice is reasonable including halal section. IKEA should consider announcing they serve breakfast and earlier than the official 10 ,3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Awesomejef,21-Jan-20,My Order 20002885 did not arrive as promised in the delivery note. I called the customer hotline many times but each time had to hang up the phone after 30 mins because ikea did not answer. It’s a frustrating experience to deal with a company that does not deliver. I won’t hesitate to make a police report if ikea does not promptly respond to my email. Is this company a big scam?,1.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",BackbenchersInt,25-Dec-19,"Tourists can take advantage of good gourmet food at the IKEA. Not fancy but better than many cafes, hotles or restaurants. Very reasonable price too.",4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",dancerizk,18-Nov-19,"IKEA is always known for its meatballs, and for a good reason! The meatballs never seem to fail you, and 20 meatballs never seem to be too much. The mashed potato at the side is rather dry though, and rather unpalatable to  ",4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",David D,25-Oct-19,Tuesday 22nd October and we travelled on board the MRTfrom City Hall Station to Bedok Statio ,4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",jackytansg,9-Oct-19,"For years, IKEA cafeteria serves delicious cuisine at value for money prices. Must try their Swedish meat balls and fried chicken wings!",5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",vivienlim67,2-Oct-19,"sometimes when you are searching for creative ways to decorate your home/room, this is the best place to be!
plus their food is excellent.",5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",JeniseL_12,16-Sep-19,"After all these years, IKEA has kept it real with their customer service. After all, furniture is their core business but they have had the smarts to cater well to their customer ",4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Godivachan,10-Jun-19,"I did a custom made wardrobe for my new house and after only 3 months, it looked like this with some disgusting mold. I paid about $1600 for it. The IKEA customer service was not keen to help me and told me to just vinegar to clean it. I tried all ways to clean the cupboard but was careful as I didn't wish to make the condition worse. However, to no avail. The customer service also commented that it's the humidity in my room. My other cupboard which I bought from another shop was fine and is still in excellent condition. Such terrible workman ship with poor quality and not even reasonably priced at all. Truly disappointing because it's my own place and I have to stare at that ugly cupboard everyday when I come home. Shall not recommend their custom made stuff to any of my friends. If I could give 0 star I would.",1.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",MOUSE A,1-Jun-19,"I bought some hotdogs and spring rolls with drink to go at level 3. When I asked if I need to present my ikea card, the cashier said no need. Then I asked is is no longer issuing points. She said card must be presented before payment. But at the first place she didn’t ask at all. I was the one asked her. So end up I didn’t get my points. I wasn’t given receipt too. She still give a a unhappy and irritated face. So no choice, I went over to put sauce in my hotdogs then found out no mustard. I walk back to the cashier again and inform both mustard dispenser are empty. She said shout to kitchen side no mustard. I waited for a few minutes and people start to queue around for mustard. But still no action till another people notified again. So end up for the first time I had lousy hotdogs since without mustar ",1.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",dskuliner,26-May-19,"Anyone LOVE Soya?
Available Soya Ice Cream@@ ikea - and only 50cents 😍🥰

Yummy, kids love it 
Should try when in the area",3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",cecille t,8-May-19,Food is located inside their Tampines branch. Accessible by free shuttle  from Bedok MRT station and Tampines MRT. Tried their best seller meatballs ang it was very good. They are also selling them at their food market. dining area is bigger than their Alexandra branch,5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",KTLim99,20-Jan-19,All day dining. Great for families and elderly friendly. Try their signature dishes - Swedish Meat  balls with Berry sauce. And fried Chicken Wings with Swedish Lager beer. 👍,5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",div106,26-Dec-18,"While shopping when u get tired, just take a break eating at the IKEA outlet. They  have a variety of western food that one can enjoy. The coffee and other drinks are refillable. The cakes are amazing.",5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",need2travel4ever,11-Oct-18,"Just about everyone would make a beeline here before hitting the store. The affordable grub is the main draw, most head there to get their delicious fried chicken wings & aromatic coffee f ",3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Chiangjoy,3-Oct-18,"We simply love to spend at least once a week at IKEA Tampines 

- a spacious space for family time 
- fabulous food 
- children space is fun 
- parking is free (one of the very few places in Singapore)",5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",wgwr,28-Sep-18,"Decent swedish food but this place is very very crowded on weekends. I love the meatballs, chicken wings and cold water prawns (if available).",4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",kracycm,11-Jul-18,"Honestly. What is there to eat? Swedish meatballs ( which has pork in it), bad fish, mediocre local dishes. Jossling w tons of families w kids and adults looking for a cheap meal. Rude and loud patrons.  I rather starve.",1.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",yeomaylin,5-Jul-18,"I visit Ikea Restaurant @ Tampines pretty often. I like the baked salmon, salmon lasagne and mushroom soup. You can ask for more cream sauce for your salmon. The cakes are sugar-overloaded and it is 'diabetes served on plate'. The coffee tastes like 'black water' and super diluted. The chicken wings are deep fried to the extent like 'chicken on drought'! They need to change their menu more frequent. Service wise, it is very fast. You have to clear your plates and cups after meal. Super crowded on weekends and PHs.",4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Justin K,29-Jun-18,"When you come to an Ikea restaurant and you don't get the Swedish meatballs, you aren't coming for the full experience. I tell you, we ordered 40 meatballs (20 in a plate) and it was gone in minute ",4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",AsisBandyopadhyay,27-Apr-18,"We visited on a week end when the crowd was huge. The queue was long and moving slowly. However, the supplies were enough and we got everything we wanted.",5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",MaxManila,11-Mar-18,One of Ikea’s bestsellers when it comes to food is meatballs and chicken wings. I seldom let an Ikea visit go by without partaking of those treats. Simply so go ,4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Erico2709,26-Jan-18,The menu is decent to satisfy one’s taste and the price is affordable. Only downside is the Long queue during peak hours.,4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Sylvia K,26-Jan-18,"I visited Ikea Alexandra to get some potted plants for the office. Ikea offers presentable and nice potted plants, household items like cutlery, bedding accessories at mostly affordable pri ",3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",tagohHS,24-Dec-17,"Since we are at ikea shopping, so decided to have some snac ",5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Coollawyer96,7-Nov-17,This place is insanely popular. Not sure why. The service is non existent and the food is really very so so. We don’t quite know why anyone would come to eat here!,2.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",rabi_sysunbin,31-Oct-17,The meatball was delicious with strawberry jam aside on it. But they serve was no too hot. And also the buffalo wings was marvelous taste and soft when because the crispy.,5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",losenglog,31-Aug-17,Though is value for money but staff did not manage the queue very well . People jumped queue while you queued up like a fool .Queued at least 20 minutes to get into the restaura ,2.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",jonathany689,18-Aug-17,"There are two Ikea in Singapore which is the Alexandra Road and Tampines. There is also free bus shuttle from MRTs like Pasir Ris MRT, Bedok MRT and Tampines MRT to Ikea Tampines. You can also refer to the bus schedule on the website to see the timing. This was my first time visiting and trying out the restaurant at Ikea in Singapo ",4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",iamjohnny,14-Jul-17,Read so much about the changes to the restaurant especially the chicken wings. Halal and non-halal prepared not the same style. Rather tasteless for the non-halal. Most food looked bland including ours. Very limited choices for the halal section. Asked for a cup for my bottled water was told I had to pay for it. Seriously? Why can't they provide a disposable cup if they are worried we might steal soft drinks?,2.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",mi8miko8,11-Jul-17,"IKEA Singapore has a wide variety of household needs from clothes storage to kitchen cabinets to chairs and more. It is also a place great for family with young children. Young children can play for up to 1 hour in the enchanted Swedish Forest while we shop at IKEA. After a long day shopping, it was rewarding to have a good meal at IKEA restaura ",3.0
